OnlUbqkPpjLN5m2iccTU;Fechas importantes del curso de inteligencia artificial
8jwhVjPN7i6HOnmHhi8i;Inversión total del curso
WLjgEGFm7Bw3bu5wPKAT;Listame los cursos
nhMQlAHQZQaI3ovzt1PW;Los pre requisitos  cuales son?
thPBAuPl1j7xOF9byXkx;Me ayudas con información acerca del curso?
nhMQlAHQZQaI3ovzt1PW;Me puedes indicar los prerequistos necesarios?
WLjgEGFm7Bw3bu5wPKAT;Muestrame los cursos
thPBAuPl1j7xOF9byXkx;Muestrame un resumen del mooc?
GteGGuUdI8E2qZs9c3EA;Nombre del docente del mooc
yoxgGiRdzigI04AOHZQt;Número de horas del mooc?
WLjgEGFm7Bw3bu5wPKAT;Que cursos estan disponibles
WLjgEGFm7Bw3bu5wPKAT;Que cursos hay
WLjgEGFm7Bw3bu5wPKAT;Que cursos me ofreces
WLjgEGFm7Bw3bu5wPKAT;Que cursos tiene
GteGGuUdI8E2qZs9c3EA;Que docente acompaña  al estudiante?
OnlUbqkPpjLN5m2iccTU;Que fechas debo tomar en cuenta
nhMQlAHQZQaI3ovzt1PW;Que necesito saber antes de iniciar el curso
GteGGuUdI8E2qZs9c3EA;Que profesor esta a cargo del curso
qCBvJo4cn9VmTOrsbyC8;Que se va a tratar en este curso?
8jwhVjPN7i6HOnmHhi8i;Que vale el curso ?
thPBAuPl1j7xOF9byXkx;Quiero informacion del curso de emprendimiento
GteGGuUdI8E2qZs9c3EA;Quién es el docente encargado de la materia?
GteGGuUdI8E2qZs9c3EA;Quién es el docente encargado?
GteGGuUdI8E2qZs9c3EA;Quién es mi profesor en el curso?
GteGGuUdI8E2qZs9c3EA;Quién va a dar el MOOC
nhMQlAHQZQaI3ovzt1PW;Qué conocimientos previos debo tener?
nhMQlAHQZQaI3ovzt1PW;Qué debería saber para tomar el curso?
GteGGuUdI8E2qZs9c3EA;Qué docente imparte el mooc?
nhMQlAHQZQaI3ovzt1PW;Qué se necesita para el curso?
qCBvJo4cn9VmTOrsbyC8;Qué se va a dar en el curso?
qCBvJo4cn9VmTOrsbyC8;Qué temas se van a tratar en cada curso?
nhMQlAHQZQaI3ovzt1PW;Qué tengo que saber?
nhMQlAHQZQaI3ovzt1PW;Requisitos previos
nhMQlAHQZQaI3ovzt1PW;Requisitos previos de ingreso  al curso
yoxgGiRdzigI04AOHZQt;Tiempo que dura un curso?
8jwhVjPN7i6HOnmHhi8i;Valor del curso?
8jwhVjPN7i6HOnmHhi8i;costo de los cursos?
8jwhVjPN7i6HOnmHhi8i;cual es el valor de los componentes?
yoxgGiRdzigI04AOHZQt;cual es la duracion de psicologia social?
GteGGuUdI8E2qZs9c3EA;cual es mi docente del mooc
8jwhVjPN7i6HOnmHhi8i;cuanto cuesta los cursos
yoxgGiRdzigI04AOHZQt;cuanto dura el curso?
yoxgGiRdzigI04AOHZQt;cuanto puede durar un curso mooc
OnlUbqkPpjLN5m2iccTU;fechas de inicio y fin
GteGGuUdI8E2qZs9c3EA;información del docente
8jwhVjPN7i6HOnmHhi8i;precio
thPBAuPl1j7xOF9byXkx;que es emprendimiento
nhMQlAHQZQaI3ovzt1PW;que se necesita saber para este curso
8jwhVjPN7i6HOnmHhi8i;tiene algun valor los cursos?
